nepali_date,english_date,n_month,n_year
2063-05-23,2006-09-08,bhadra,2063
2063-05-24,2006-09-09,bhadra,2063
2063-05-25,2006-09-10,bhadra,2063
2063-05-26,2006-09-11,bhadra,2063
2063-05-27,2006-09-12,bhadra,2063
2063-05-28,2006-09-13,bhadra,2063
2063-05-29,2006-09-14,bhadra,2063
2063-05-30,2006-09-15,bhadra,2063
2063-05-31,2006-09-16,bhadra,2063
2063-06-01,2006-09-17,ashoj,2063
2063-06-02,2006-09-18,ashoj,2063
2063-06-03,2006-09-19,ashoj,2063
2063-06-04,2006-09-20,ashoj,2063
2063-06-05,2006-09-21,ashoj,2063
2063-06-06,2006-09-22,ashoj,2063
2063-06-07,2006-09-23,ashoj,2063
2063-06-08,2006-09-24,ashoj,2063
2063-06-09,2006-09-25,ashoj,2063
2063-06-10,2006-09-26,ashoj,2063
2063-06-11,2006-09-27,ashoj,2063
2063-06-12,2006-09-28,ashoj,2063
2063-06-13,2006-09-29,ashoj,2063
2063-06-14,2006-09-30,ashoj,2063
2063-06-15,2006-10-01,ashoj,2063
2063-06-16,2006-10-02,ashoj,2063
2063-06-17,2006-10-03,ashoj,2063
2063-06-18,2006-10-04,ashoj,2063
2063-06-19,2006-10-05,ashoj,2063
2063-06-20,2006-10-06,ashoj,2063
2063-06-21,2006-10-07,ashoj,2063
2063-06-22,2006-10-08,ashoj,2063
2063-06-23,2006-10-09,ashoj,2063
2063-06-24,2006-10-10,ashoj,2063
2063-06-25,2006-10-11,ashoj,2063
2063-06-26,2006-10-12,ashoj,2063
2063-06-27,2006-10-13,ashoj,2063
2063-06-28,2006-10-14,ashoj,2063
2063-06-29,2006-10-15,ashoj,2063
2063-06-30,2006-10-16,ashoj,2063
2063-06-31,2006-10-17,ashoj,2063
2063-07-01,2006-10-18,kartik,2063
2063-07-02,2006-10-19,kartik,2063
2063-07-03,2006-10-20,kartik,2063
2063-07-04,2006-10-21,kartik,2063
2063-07-05,2006-10-22,kartik,2063
2063-07-06,2006-10-23,kartik,2063
2063-07-07,2006-10-24,kartik,2063
2063-07-08,2006-10-25,kartik,2063
2063-07-09,2006-10-26,kartik,2063
2063-07-10,2006-10-27,kartik,2063
2063-07-11,2006-10-28,kartik,2063
2063-07-12,2006-10-29,kartik,2063
2063-07-13,2006-10-30,kartik,2063
2063-07-14,2006-10-31,kartik,2063
2063-07-15,2006-11-01,kartik,2063
2063-07-16,2006-11-02,kartik,2063
2063-07-17,2006-11-03,kartik,2063
2063-07-18,2006-11-04,kartik,2063
2063-07-19,2006-11-05,kartik,2063
2063-07-20,2006-11-06,kartik,2063
2063-07-21,2006-11-07,kartik,2063
2063-07-22,2006-11-08,kartik,2063
2063-07-23,2006-11-09,kartik,2063
2063-07-24,2006-11-10,kartik,2063
2063-07-25,2006-11-11,kartik,2063
2063-07-26,2006-11-12,kartik,2063
2063-07-27,2006-11-13,kartik,2063
2063-07-28,2006-11-14,kartik,2063
2063-07-29,2006-11-15,kartik,2063
2063-07-30,2006-11-16,kartik,2063
2063-08-01,2006-11-17,mangsir,2063
2063-08-02,2006-11-18,mangsir,2063
2063-08-03,2006-11-19,mangsir,2063
2063-08-04,2006-11-20,mangsir,2063
2063-08-05,2006-11-21,mangsir,2063
2063-08-06,2006-11-22,mangsir,2063
2063-08-07,2006-11-23,mangsir,2063
2063-08-08,2006-11-24,mangsir,2063
2063-08-09,2006-11-25,mangsir,2063
2063-08-10,2006-11-26,mangsir,2063
2063-08-11,2006-11-27,mangsir,2063
2063-08-12,2006-11-28,mangsir,2063
2063-08-13,2006-11-29,mangsir,2063
2063-08-14,2006-11-30,mangsir,2063
2063-08-15,2006-12-01,mangsir,2063
2063-08-16,2006-12-02,mangsir,2063
2063-08-17,2006-12-03,mangsir,2063
2063-08-18,2006-12-04,mangsir,2063
2063-08-19,2006-12-05,mangsir,2063
2063-08-20,2006-12-06,mangsir,2063
2063-08-21,2006-12-07,mangsir,2063
2063-08-22,2006-12-08,mangsir,2063
2063-08-23,2006-12-09,mangsir,2063
2063-08-24,2006-12-10,mangsir,2063
2063-08-25,2006-12-11,mangsir,2063
2063-08-26,2006-12-12,mangsir,2063
2063-08-27,2006-12-13,mangsir,2063
2063-08-28,2006-12-14,mangsir,2063
2063-08-29,2006-12-15,mangsir,2063
2063-09-01,2006-12-16,poush,2063
2063-09-02,2006-12-17,poush,2063
2063-09-03,2006-12-18,poush,2063
2063-09-04,2006-12-19,poush,2063
2063-09-05,2006-12-20,poush,2063
2063-09-06,2006-12-21,poush,2063
2063-09-07,2006-12-22,poush,2063
2063-09-08,2006-12-23,poush,2063
2063-09-09,2006-12-24,poush,2063
2063-09-10,2006-12-25,poush,2063
2063-09-11,2006-12-26,poush,2063
2063-09-12,2006-12-27,poush,2063
2063-09-13,2006-12-28,poush,2063
2063-09-14,2006-12-29,poush,2063
2063-09-15,2006-12-30,poush,2063
2063-09-16,2006-12-31,poush,2063
2063-09-17,2007-01-01,poush,2063
2063-09-18,2007-01-02,poush,2063
2063-09-19,2007-01-03,poush,2063
2063-09-20,2007-01-04,poush,2063
2063-09-21,2007-01-05,poush,2063
2063-09-22,2007-01-06,poush,2063
2063-09-23,2007-01-07,poush,2063
2063-09-24,2007-01-08,poush,2063
2063-09-25,2007-01-09,poush,2063
2063-09-26,2007-01-10,poush,2063
2063-09-27,2007-01-11,poush,2063
2063-09-28,2007-01-12,poush,2063
2063-09-29,2007-01-13,poush,2063
2063-09-30,2007-01-14,poush,2063
2063-10-01,2007-01-15,magh,2063
2063-10-02,2007-01-16,magh,2063
2063-10-03,2007-01-17,magh,2063
2063-10-04,2007-01-18,magh,2063
2063-10-05,2007-01-19,magh,2063
2063-10-06,2007-01-20,magh,2063
2063-10-07,2007-01-21,magh,2063
2063-10-08,2007-01-22,magh,2063
2063-10-09,2007-01-23,magh,2063
